loan_id,reporting_period,rule_violation_score,ml_anomaly_score,composite_anomaly_score,exception_required,exception_type,triggered_rules,top_drivers,recommended_action
100829595540,112011,0.0,70.51544369572285,35.257721847861426,0,None,None,borrower_credit_score (666.0),Proceed
100829595540,122011,0.0,70.48481972243958,35.24240986121979,0,None,None,borrower_credit_score (666.0),Proceed
100829595540,12012,0.0,70.22901954096541,35.114509770482705,0,None,None,borrower_credit_score (666.0),Proceed
100352555665,12012,0.0,69.85834998279576,34.92917499139788,0,None,None,interest_rate_diff (0.0),Proceed
100352555665,122011,0.0,69.2743534846861,34.63717674234305,0,None,None,dti (19.0),Proceed
101812620634,52012,0.0,68.73674788097142,34.36837394048571,0,None,None,orig_ltv (89.0),Proceed
101812620634,112011,0.0,68.73674788097142,34.36837394048571,0,None,None,orig_ltv (89.0),Proceed
101812620634,102011,0.0,68.73674788097142,34.36837394048571,0,None,None,orig_ltv (89.0),Proceed
101812620634,82011,0.0,68.73674788097142,34.36837394048571,0,None,None,orig_ltv (89.0),Proceed
101812620634,112010,0.0,68.73674788097142,34.36837394048571,0,None,None,orig_ltv (89.0),Proceed
101812620634,82012,0.0,68.73674788097142,34.36837394048571,0,None,None,orig_ltv (89.0),Proceed
100352555665,112011,0.0,68.53079184108515,34.26539592054257,0,None,None,dti (19.0),Proceed
100352555665,102011,0.0,67.94345142931823,33.971725714659115,0,None,None,dti (19.0),Proceed
100829595540,92011,0.0,67.78837699201524,33.89418849600762,0,None,None,borrower_credit_score (666.0),Proceed
100829595540,82011,0.0,67.08758487633017,33.543792438165084,0,None,None,borrower_credit_score (666.0),Proceed
100352555665,82011,0.0,66.96142256995195,33.480711284975975,0,None,None,dti (19.0),Proceed
100352555665,92011,0.0,66.73977960152125,33.369889800760625,0,None,None,dti (19.0),Proceed
100352555665,72011,0.0,66.15372572853668,33.07686286426834,0,None,None,dti (19.0),Proceed
102218329006,102018,0.0,65.94813698025212,32.97406849012606,0,None,None,interest_rate_diff (0.0),Proceed
102218329006,82018,0.0,65.94813698025212,32.97406849012606,0,None,None,interest_rate_diff (0.0),Proceed
102218329006,92018,0.0,65.94813698025212,32.97406849012606,0,None,None,interest_rate_diff (0.0),Proceed
102218329006,62018,0.0,65.94813698025212,32.97406849012606,0,None,None,interest_rate_diff (0.0),Proceed
102218329006,72018,0.0,65.94813698025212,32.97406849012606,0,None,None,interest_rate_diff (0.0),Proceed
102218329006,52018,0.0,65.33461158207983,32.667305791039915,0,None,None,interest_rate_diff (0.0),Proceed
100829595540,72011,0.0,64.33761835077057,32.168809175385285,0,None,None,borrower_credit_score (666.0),Proceed
100829595540,62011,0.0,64.16105653897853,32.080528269489264,0,None,None,borrower_credit_score (666.0),Proceed
102218329006,42018,0.0,64.14908214617327,32.074541073086635,0,None,None,interest_rate_diff (0.0),Proceed
100352555665,62011,0.0,62.69094625134461,31.345473125672306,0,None,None,dti (19.0),Proceed
100352555665,52011,0.0,62.524526671922295,31.262263335961148,0,None,None,dti (19.0),Proceed
100352555665,42011,0.0,62.24839360639557,31.124196803197783,0,None,None,dti (19.0),Proceed
100352555665,32011,0.0,61.891554633113664,30.945777316556832,0,None,None,dti (19.0),Proceed
100352555665,22011,0.0,61.30194144460832,30.65097072230416,0,None,None,dti (19.0),Proceed
