column,lower_bound,upper_bound,outlier_count,outlier_percentage
orig_upb,5000.0,261000.0,73,9.64332892998679
11,-113914.04000000001,327469.8,28,3.6988110964332894
origination_date,72009.0,72009.0,181,23.91017173051519
first_payment_date,92009.0,92009.0,181,23.91017173051519
dti,26.0,42.0,85,11.228533685601057
28,1.0,1.0,180,23.778071334214
45,6582.614999999962,420897.93500000006,2,0.26420079260237783
48,-105.99250000000004,572.7475000000001,1,0.13210039630118892
